Recency,Frequency,Monetary
39,2,4550
3,4,4256
78,1,2000
3,2,2695
2,2,7913
4,2,2070
2,8,8031
1,2,2514
11,10,8240
37,8,1250
53,2,215
28,4,108
12,15,4618
29,4,3243
26,2,5260
7,1,4450
15,5,3130
11,20,7288
38,10,4324
2,1,3200
52,1,4350
25,4,5300
6,3,5697
18,3,2600
29,3,2964
34,2,1462
2,2,5400
43,10,3357
12,3,5780
13,6,4361
2,1,4300
3,16,7796
7,1,1722
6,5,10480
44,1,3120
18,16,8293
11,18,3948
7,5,2418
11,9,3998
81,4,2996
7,10,2828
18,5,2099
14,4,119
75,3,1600
18,2,2750
11,4,1800
1,15,10334
8,3,5550
13,10,7062
39,1,175
2,9,5395
35,2,753
0,15,3398
3,1,730
3,5,1794
4,5,2282
44,4,6803
9,1,4751
9,4,2378
0,2,2510
32,4,5697
77,5,1450
73,2,1018
58,1,1300
5,5,4950
43,3,3120
0,3,6300
11,2,3122
3,3,6199
2,8,4845
33,1,4189
0,2,4150
15,2,4450
38,1,2509
8,2,1475
4,5,1439
8,4,4950
44,2,1833
11,2,2218
52,3,2230
1,1,4150
54,3,164
9,1,119
1,1,1369
4,18,8316
44,3,1800
57,6,2667
10,3,1806
11,2,1503
55,8,232
9,5,4300
5,1,5550
3,4,1695
80,2,1391
1,3,3154
4,9,2057
14,2,211
3,1,6040
67,8,2500
3,3,5100
78,4,1600
2,10,10873
33,3,3250
2,10,9025
6,10,2387
24,8,3470
16,3,2400
4,1,5990
12,6,4250
48,3,129
29,2,3510
9,6,5971
29,1,2876
14,1,2314
35,3,4550
2,2,1369
83,4,1600
17,8,5100
24,4,2500
8,2,4949
15,1,1700
21,1,1441
16,2,3100
7,2,1562
6,1,156
35,5,2952
2,6,6146
4,4,3912
26,10,6525
1,1,1337
10,10,5796
12,2,5624
33,1,3406
2,4,6474
39,1,2410
71,5,1499
12,3,4820
65,1,1322
16,5,2480
12,5,5009
8,5,1450
12,20,6175
0,4,2600
11,3,3610
10,4,4537
0,6,7228
16,3,3400
84,4,1436
9,5,5490
12,4,623
30,2,108
16,1,5305
61,5,122
17,15,3131
16,5,4380
30,1,3110
1,5,2610
3,1,970
13,2,1717
2,5,5330
3,4,6193
37,5,108
18,1,3150
11,3,2330
0,2,6000
26,16,7145
66,10,2999
36,4,2699
36,1,4490
27,1,1872
12,5,2200
4,2,4159
82,4,1332
32,4,2746
70,2,1499
2,2,4764
32,3,108
2,20,3941
36,5,2770
28,5,3240
0,4,1961
17,1,4800
9,5,119
5,3,6316
1,3,3580
10,1,4766
1,3,119
12,4,5862
32,4,2920
8,5,2348
29,6,4350
74,3,1650
69,3,1918
18,1,2500
33,3,3320
16,3,2156
81,1,1500
13,2,211
6,1,5330
11,1,5454
17,4,2500
9,3,211
44,6,3952
15,5,2911
33,4,1850
14,5,119
18,1,2309
10,4,4020
13,1,1877
35,2,3886
27,1,2500
3,3,5960
30,2,3917
23,5,2500
9,1,5300
5,30,8184
34,3,1063
82,1,1399
0,2,3180
0,1,4027
57,1,2605
45,4,4350
0,10,5042
6,4,2670
17,3,2354
8,4,2170
34,5,2931
31,3,418
54,3,1656
1,5,5800
10,1,1328
58,2,3366
9,4,1321
7,6,3299
68,2,2500
2,4,5925
41,1,2700
37,10,5126
41,2,5880
2,3,3691
16,6,3942
1,20,5642
37,8,2503
13,4,3969
14,2,1790
41,1,263
11,1,1511
32,2,3409
20,2,1199
1,2,6000
25,2,5460
17,5,5940
37,3,1521
37,2,108
35,2,3010
44,2,3258
2,3,6403
14,1,1020
77,2,1600
42,3,4160
47,6,2720
73,4,1000
39,2,1099
0,3,2810
11,4,2247
56,12,4835
34,6,4078
28,5,1456
40,1,2330
1,1,865
12,4,5015
5,4,2188
0,1,1801
6,10,4950
42,1,175
4,3,1400
30,1,2348
6,6,5397
1,5,5980
27,5,4500
0,2,3570
0,8,212
0,4,6360
56,2,1826
7,1,5100
9,5,5185
7,4,2900
1,10,5015
82,4,1094
9,2,1970
58,2,2580
7,5,4405
1,9,6004
46,5,500
10,1,5231
35,5,3010
0,6,6900
27,10,3265
32,3,2245
16,5,1730
1,1,2265
63,3,779
12,4,3960
67,1,1600
4,4,5769
6,2,4898
15,4,9305
1,2,6000
1,2,6000
7,1,5550
42,5,1976
7,8,4894
29,6,3259
2,2,5880
12,4,3766
8,6,5917
9,5,5390
1,3,5999
14,5,3464
16,4,610
32,10,1810
38,8,2469
16,15,5565
25,2,2565
32,1,2776
5,3,6090
17,5,1990
47,4,4350
10,5,3157
72,3,1499
9,3,3121
31,3,3650
9,2,6024
11,5,1024
65,3,110
13,10,6108
11,4,1584
10,2,6313
33,15,4807
44,3,129
72,3,1500
16,3,3100
10,3,941
70,1,1499
6,4,6186
41,1,203
3,15,6165
12,8,4231
10,5,5266
83,2,920
5,4,5449
6,5,156
2,9,2684
12,4,4577
34,2,4799
1,5,2024
12,5,5327
8,3,2400
77,6,1131
3,16,5334
76,4,1699
2,6,3600
58,2,122
17,5,1240
7,2,1908
36,3,2850
43,9,4364
0,1,5251
35,3,3237
34,4,1217
13,4,6201
33,2,4189
11,6,4067
28,4,2989
6,6,19305
42,1,2105
62,4,122
44,5,149
32,1,4778
13,3,2440
64,3,739
11,6,5541
83,5,1300
53,5,1400
66,4,110
6,8,7769
8,4,156
5,12,6120
3,8,4070
57,15,4374
10,2,5810
0,4,700
13,4,5978
1,4,6868
31,6,3484
3,4,3292
10,2,3290
28,10,2790
31,3,3510
4,2,6150
9,2,5300
3,6,7471
4,2,156
47,1,1100
37,5,1050
18,2,2800
83,3,1350
32,1,3387
68,9,2920
36,3,108
11,16,6096
29,4,2410
44,4,1291
36,3,2410
30,5,2509
15,1,2870
38,2,2230
41,8,4358
2,4,2650
16,1,4099
9,1,4778
16,1,2437
3,2,5910
4,6,5958
4,5,119
74,5,1499
10,4,3650
1,4,5306
5,5,4233
38,3,2267
20,5,2584
17,4,4401
34,4,2646
8,1,4886
35,5,3220
12,10,2730
15,1,3162
6,1,4045
0,2,6484
4,4,5784
17,1,5370
12,1,6200
3,5,1532
38,2,108
34,2,2026
11,4,1719
54,1,1470
3,25,11047
13,5,1557
23,2,2500
8,4,4700
12,2,990
9,1,2760
3,3,5967
5,3,119
12,5,2409
25,3,5752
10,3,5550
9,3,2887
33,8,2050
1,5,6359
8,8,2622
70,5,1500
82,2,1399
7,1,2214
12,1,3560
16,3,3100
12,16,2457
32,3,3640
19,2,1178
81,4,1499
8,6,6111
16,5,1190
5,10,5109
6,2,2255
8,4,3000
25,1,3100
1,4,5364
33,2,192
0,5,1338
74,3,580
58,16,4311
45,3,2635
33,2,3175
32,2,3991
4,10,2632
10,3,2780
15,4,1829
0,1,6450
12,4,2351
17,5,2351
12,1,4100
27,3,108
14,3,3200
14,8,8152
30,5,108
1,10,6199
0,2,6900
80,2,1362
11,2,3595
37,12,6102
26,4,200
29,1,141
33,5,2976
60,2,1665
15,5,1790
69,4,1849
19,2,2524
14,12,4785
60,1,1490
13,2,2270
38,1,5900
8,4,119
3,1,3158
31,2,593
3,4,6000
0,2,4196
1,12,7826
3,3,2527
8,1,490
0,4,9534
13,4,2800
14,5,4692
11,1,5450
10,3,6150
18,5,1524
27,4,2600
31,4,3297
8,10,5228
0,2,5600
54,3,1880
61,4,1633
48,2,1910
6,3,5073
11,1,5524
6,4,10531
47,15,2773
6,4,5750
2,5,3200
54,4,2095
41,1,2819
36,3,2650
37,1,2410
33,2,192
9,2,1640
69,1,2500
13,5,3522
6,5,4415
25,5,2500
32,2,141
80,5,1600
29,4,4275
11,3,2230
25,4,2739
14,1,3150
1,1,1255
52,2,2175
52,3,750
27,4,3250
8,1,1030
10,5,1370
4,3,5649
79,3,1600
73,1,1672
7,6,4850
11,2,5750
26,12,4908
12,10,7233
78,4,1391
56,1,122
0,3,119
0,1,1215
47,3,4350
9,5,5673
4,5,5909
6,15,12463
67,5,1848
58,6,3339
7,6,2264
12,16,6746
2,4,5555
4,6,6840
83,2,1399
8,6,10411
14,3,3150
61,12,3319
35,10,3244
15,2,2964
46,6,3405
15,4,3050
7,1,1900
71,5,1500
73,4,1500
7,3,6185
38,2,2358
44,1,5600
33,5,3050
58,6,2604
66,3,1700
9,1,3066
8,1,4776
7,5,2580
30,1,2340
44,1,1340
6,2,4432
10,5,5450
25,6,5108
12,3,1834
0,6,9195
29,2,4940
9,1,4849
16,4,5546
9,3,3351
5,2,3119
30,4,1639
0,5,10490
34,4,3002
3,8,5658
27,2,3122
0,10,4402
7,5,3489
32,9,3563
3,2,4226
7,6,4935
82,1,999
79,10,1949
3,4,3620
18,5,2350
2,10,2194
1,4,4600
2,9,7718
33,2,786
8,3,4950
36,1,2510
8,2,5834
44,4,1123
58,10,222
34,4,748
15,2,2818
32,5,3408
25,6,3811
58,2,2596
58,1,122
29,5,141
12,3,4400
55,5,1990
28,1,3010
11,2,3450
24,4,2920
32,2,1343
12,5,119
16,4,1126
65,3,110
6,8,5345
66,3,110
37,3,4165
10,2,1256
11,5,4700
61,3,227
48,5,1844
56,2,1699
8,4,2560
4,1,5305
38,3,729
45,6,2080
15,6,5752
30,1,2410
1,3,5690
67,1,1700
11,4,3651
34,10,5826
28,2,4340
72,4,110
61,2,122
31,4,2079
17,8,2500
15,8,2537
16,21,10118
5,4,3419
17,1,2363
1,4,5966
17,2,706
54,5,1014
38,3,2290
10,2,119
11,1,1940
8,3,2020
32,5,3397
16,5,666
3,2,5809
18,4,1576
6,10,5170
59,4,3129
9,1,5100
6,1,3161
18,5,938
39,2,129
74,4,1534
17,4,2432
31,15,2398
12,3,3927
37,3,3250
6,2,7538
12,30,13716
37,3,1232
4,12,4141
54,1,4200
1,3,4621
43,3,5589
29,8,3795
32,10,932
4,2,6360
57,3,1020
9,4,5930
34,3,108
9,3,5156
36,1,4250
18,3,700
12,1,3910
6,4,2134
16,9,3411
35,2,2474
3,3,5700
