Recency,Frequency,Monetary,R,F,M
15,5,3113,4,4,1
27,3,5694,1,2,2
22,8,21613,2,5,5
12,4,6092,5,3,2
0,12,27981,5,5,5
3,4,7597,5,3,3
34,1,3984,1,1,2
16,1,1588,3,1,1
12,1,4623,5,1,2
13,6,20229,4,4,5
24,4,5816,2,3,2
17,5,14995,3,4,5
22,5,19846,2,4,5
39,2,1256,1,1,1
11,1,1037,5,1,1
18,5,12167,3,4,4
22,3,7599,2,2,3
12,6,11037,5,4,4
25,3,3102,2,2,1
18,5,5231,3,4,2
19,3,7434,2,2,3
10,4,8095,5,3,3
27,3,2183,1,2,1
14,10,21518,4,5,5
15,3,8983,4,2,3
21,4,6070,2,3,2
12,4,1469,5,3,1
1,6,12530,5,4,4
18,3,9171,3,2,3
20,3,13063,2,2,4
10,2,1661,5,1,1
35,3,1949,1,2,1
22,3,7521,2,2,3
25,4,11082,2,3,4
28,1,2844,1,1,1
9,7,26939,5,5,5
15,3,5257,4,2,2
3,6,12376,5,4,4
20,2,9559,2,1,3
14,5,22136,4,4,5
14,2,3240,4,1,1
36,1,1255,1,1,1
46,2,12713,1,1,4
18,2,6618,3,1,3
23,7,5348,2,5,2
11,4,8822,5,3,3
16,5,12130,3,4,4
13,4,12875,4,3,4
31,4,10622,1,3,4
12,6,8711,5,4,3
22,2,6411,2,1,2
20,2,10028,2,1,4
19,1,5502,2,1,2
17,4,12750,3,3,4
10,4,5543,5,3,2
18,6,14372,3,4,5
25,5,18380,2,4,5
22,2,2819,2,1,1
21,4,11668,2,3,4
21,4,1186,2,3,1
37,2,3879,1,1,2
24,2,5347,2,1,2
13,4,12998,4,3,4
12,1,2302,5,1,1
15,9,1142,4,5,1
24,4,4558,2,3,2
20,1,2143,2,1,1
18,4,8273,3,3,3
13,4,10763,4,3,4
19,1,2532,2,1,1
14,2,6033,4,1,2
21,3,3838,2,2,2
13,2,11503,4,1,4
14,6,20114,4,4,5
17,5,7835,3,4,3
35,1,540,1,1,1
6,5,8905,5,4,3
13,4,8327,4,3,3
34,3,5237,1,2,2
18,2,8539,3,1,3
32,6,6150,1,4,2
14,5,8032,4,4,3
26,2,5406,1,1,2
14,6,10811,4,4,4
4,4,10970,5,3,4
31,4,11733,1,3,4
18,6,12175,3,4,4
12,4,15231,5,3,5
10,4,3181,5,3,1
14,5,13856,4,4,5
17,6,17328,3,4,5
21,4,5492,2,3,2
29,2,4804,1,1,2
12,5,10916,5,4,4
27,1,3752,1,1,1
32,2,7111,1,1,3
13,6,6463,4,4,2
12,2,4722,5,1,2
14,3,3064,4,2,1
26,3,15090,1,2,5
15,6,5275,4,4,2
17,7,12021,3,5,4
14,2,5123,4,1,2
42,1,4038,1,1,2
14,4,18215,4,3,5
28,2,2201,1,1,1
14,3,4617,4,2,2
19,8,14467,2,5,5
14,6,9664,4,4,4
13,6,25660,4,4,5
14,6,19846,4,4,5
16,2,6428,3,1,2
13,4,3333,4,3,1
13,4,4972,4,3,2
18,3,7815,3,2,3
25,4,8547,2,3,3
19,2,6318,2,1,2
3,10,16776,5,5,5
12,4,13120,5,3,4
11,4,5480,5,3,2
11,6,15536,5,4,5
17,2,1078,3,1,1
13,2,821,4,1,1
14,1,4836,4,1,2
27,1,116,1,1,1
19,5,9474,2,4,3
11,5,24713,5,4,5
13,1,404,4,1,1
19,3,2695,2,2,1
27,1,1034,1,1,1
22,5,8714,2,4,3
11,2,7286,5,1,3
16,3,12833,3,2,4
29,4,8890,1,3,3
21,3,9858,2,2,4
18,8,26622,3,5,5
11,3,14185,5,2,5
21,6,4574,2,4,2
9,3,7825,5,2,3
19,4,9140,2,3,3
22,2,7774,2,1,3
14,3,9748,4,2,4
26,1,3673,1,1,1
12,11,16393,5,5,5
18,3,10263,3,2,4
14,7,5593,4,5,2
17,5,16302,3,4,5
19,2,2267,2,1,1
13,4,13928,4,3,5
17,8,21063,3,5,5
17,3,8253,3,2,3
17,1,575,3,1,1
18,6,11482,3,4,4
19,9,17829,2,5,5
0,8,24703,5,5,5
20,4,17960,2,3,5
30,3,3347,1,2,1
12,6,10180,5,4,4
19,2,5592,2,1,2
21,2,9420,2,1,3
29,4,10423,1,3,4
17,8,4502,3,5,2
16,3,10468,3,2,4
40,1,5337,1,1,2
9,10,13656,5,5,4
13,2,4685,4,1,2
21,5,17668,2,4,5
15,5,11184,4,4,4
22,4,5587,2,3,2
13,6,12114,4,4,4
24,3,7553,2,2,3
10,7,13265,5,5,4
12,2,8870,5,1,3
38,3,8245,1,2,3
3,6,14240,5,4,5
19,6,18683,2,4,5
10,4,10777,5,3,4
15,5,15336,4,4,5
11,6,15942,5,4,5
24,3,3147,2,2,1
13,1,1949,4,1,1
27,4,5412,1,3,2
29,2,8601,1,1,3
12,6,7697,5,4,3
18,2,4404,3,1,2
19,4,1421,2,3,1
